drug,cell_line,gCSI IC50
bortezomib,KYSE-270,0.05
crizotinib,KYSE-270,1
dasatinib,KYSE-270,NaN
docetaxel,KYSE-270,0.02
doxorubicin,KYSE-270,0.4
erlotinib,KYSE-270,0.34
gdc0941,KYSE-270,10
gemcitabine,KYSE-270,0.01
irinotecan,KYSE-270,1.74
lapatinib,KYSE-270,1.99
ms275,KYSE-270,0.1
paclitaxel,KYSE-270,0.05
pd0325901,KYSE-270,20
rapamycin,KYSE-270,0.1
thapsigargin,KYSE-270,0.1
vinblastine,KYSE-270,NaN
vorinostat,KYSE-270,3.4
bid1870,KYSE-30,10
bortezomib,KYSE-30,0.02
crizotinib,KYSE-30,1
dasatinib,KYSE-30,NaN
docetaxel,KYSE-30,0
doxorubicin,KYSE-30,0.26
erlotinib,KYSE-30,10
gdc0941,KYSE-30,10
gemcitabine,KYSE-30,0.01
irinotecan,KYSE-30,2.79
lapatinib,KYSE-30,4.16
ms275,KYSE-30,0.1
paclitaxel,KYSE-30,0.01
pd0325901,KYSE-30,0.1
rapamycin,KYSE-30,0.1
thapsigargin,KYSE-30,0.02
vinblastine,KYSE-30,NaN
vorinostat,KYSE-30,2.44
bid1870,KYSE-410,10
bortezomib,KYSE-410,0.04
crizotinib,KYSE-410,1
dasatinib,KYSE-410,NaN
docetaxel,KYSE-410,0
doxorubicin,KYSE-410,0.48
erlotinib,KYSE-410,3.34
gdc0941,KYSE-410,10
gemcitabine,KYSE-410,1
irinotecan,KYSE-410,8.23
lapatinib,KYSE-410,2.09
ms275,KYSE-410,0.1
paclitaxel,KYSE-410,0.01
pd0325901,KYSE-410,3.18
rapamycin,KYSE-410,0
thapsigargin,KYSE-410,0.04
vinblastine,KYSE-410,NaN
vorinostat,KYSE-410,1.57
bid1870,KYSE-450,10
bortezomib,KYSE-450,0.05
crizotinib,KYSE-450,1
dasatinib,KYSE-450,NaN
docetaxel,KYSE-450,0
doxorubicin,KYSE-450,0.32
erlotinib,KYSE-450,0.12
gdc0941,KYSE-450,0.27
gemcitabine,KYSE-450,0.03
irinotecan,KYSE-450,8.77
lapatinib,KYSE-450,0.92
ms275,KYSE-450,0.1
paclitaxel,KYSE-450,0.01
pd0325901,KYSE-450,0.51
rapamycin,KYSE-450,0.1
thapsigargin,KYSE-450,0.06
vinblastine,KYSE-450,NaN
vorinostat,KYSE-450,1.71
bid1870,KYSE-510,10
bortezomib,KYSE-510,0.08
crizotinib,KYSE-510,1
dasatinib,KYSE-510,NaN
docetaxel,KYSE-510,0
doxorubicin,KYSE-510,0.09
erlotinib,KYSE-510,10
gdc0941,KYSE-510,10
gemcitabine,KYSE-510,0
irinotecan,KYSE-510,2.27
lapatinib,KYSE-510,6.1
ms275,KYSE-510,0.1
paclitaxel,KYSE-510,0
pd0325901,KYSE-510,20
rapamycin,KYSE-510,0.1
thapsigargin,KYSE-510,0.05
vinblastine,KYSE-510,NaN
vorinostat,KYSE-510,1.79
bid1870,KYSE-520,10
bortezomib,KYSE-520,0.05
crizotinib,KYSE-520,1
dasatinib,KYSE-520,NaN
docetaxel,KYSE-520,0
doxorubicin,KYSE-520,0.81
erlotinib,KYSE-520,0.56
gdc0941,KYSE-520,10
gemcitabine,KYSE-520,1
irinotecan,KYSE-520,12.3
lapatinib,KYSE-520,3.16
ms275,KYSE-520,0.1
paclitaxel,KYSE-520,0.01
pd0325901,KYSE-520,0.61
rapamycin,KYSE-520,0.1
thapsigargin,KYSE-520,0.06
vinblastine,KYSE-520,NaN
vorinostat,KYSE-520,2.55
bid1870,KYSE-70,10
bortezomib,KYSE-70,0.12
crizotinib,KYSE-70,1
dasatinib,KYSE-70,0.1
docetaxel,KYSE-70,0.01
doxorubicin,KYSE-70,0.8
erlotinib,KYSE-70,10
gdc0941,KYSE-70,10
gemcitabine,KYSE-70,1
irinotecan,KYSE-70,20
lapatinib,KYSE-70,8.15
ms275,KYSE-70,0.1
paclitaxel,KYSE-70,0.01
pd0325901,KYSE-70,20
rapamycin,KYSE-70,0.1
thapsigargin,KYSE-70,0.05
vinblastine,KYSE-70,0.01
vorinostat,KYSE-70,2.04
bid1870,L-363,10
bortezomib,L-363,0.19
crizotinib,L-363,0.95
dasatinib,L-363,NaN
docetaxel,L-363,0
doxorubicin,L-363,0.29
erlotinib,L-363,10
gdc0941,L-363,10
gemcitabine,L-363,0.01
irinotecan,L-363,1.48
lapatinib,L-363,20
ms275,L-363,0.1
paclitaxel,L-363,0.01
pd0325901,L-363,20
rapamycin,L-363,0
thapsigargin,L-363,0.04
vinblastine,L-363,NaN
vorinostat,L-363,0.46
bid1870,LCLC-103H,10
bortezomib,LCLC-103H,0.02
crizotinib,LCLC-103H,1
dasatinib,LCLC-103H,0.1
docetaxel,LCLC-103H,0
doxorubicin,LCLC-103H,0.36
erlotinib,LCLC-103H,10
gdc0941,LCLC-103H,10
gemcitabine,LCLC-103H,0.08
irinotecan,LCLC-103H,4.64
lapatinib,LCLC-103H,8.97
ms275,LCLC-103H,0.1
paclitaxel,LCLC-103H,0.01
pd0325901,LCLC-103H,20
rapamycin,LCLC-103H,0.1
thapsigargin,LCLC-103H,0.03
vinblastine,LCLC-103H,0.01
vorinostat,LCLC-103H,1.41
bid1870,LCLC-97TM1,10
bortezomib,LCLC-97TM1,0.02
crizotinib,LCLC-97TM1,1
dasatinib,LCLC-97TM1,NaN
docetaxel,LCLC-97TM1,0.01
doxorubicin,LCLC-97TM1,0.28
erlotinib,LCLC-97TM1,10
gdc0941,LCLC-97TM1,10
gemcitabine,LCLC-97TM1,0.04
irinotecan,LCLC-97TM1,2.55
lapatinib,LCLC-97TM1,15.45
ms275,LCLC-97TM1,0.1
paclitaxel,LCLC-97TM1,0.02
pd0325901,LCLC-97TM1,0.27
rapamycin,LCLC-97TM1,0.1
thapsigargin,LCLC-97TM1,0.11
vinblastine,LCLC-97TM1,NaN
vorinostat,LCLC-97TM1,3.02
bid1870,LN-18,10
bortezomib,LN-18,0.04
crizotinib,LN-18,1
dasatinib,LN-18,0.1
docetaxel,LN-18,0.02
doxorubicin,LN-18,0.33
erlotinib,LN-18,10
gdc0941,LN-18,10
gemcitabine,LN-18,0
irinotecan,LN-18,2.72
lapatinib,LN-18,6.77
ms275,LN-18,0.1
paclitaxel,LN-18,0.11
pd0325901,LN-18,20
rapamycin,LN-18,0
thapsigargin,LN-18,0.04
vinblastine,LN-18,0.03
vorinostat,LN-18,1.51
bid1870,LN-229,10
bortezomib,LN-229,0.02
crizotinib,LN-229,1
dasatinib,LN-229,0.1
docetaxel,LN-229,0.01
doxorubicin,LN-229,0.36
erlotinib,LN-229,10
gdc0941,LN-229,10
gemcitabine,LN-229,1
irinotecan,LN-229,10.18
lapatinib,LN-229,7.89
ms275,LN-229,0.1
paclitaxel,LN-229,0.04
pd0325901,LN-229,1.4
rapamycin,LN-229,0.1
thapsigargin,LN-229,0.03
vinblastine,LN-229,0.02
vorinostat,LN-229,2.15
bid1870,LNCAP clone FGC,10
bortezomib,LNCAP clone FGC,0.06
crizotinib,LNCAP clone FGC,1
dasatinib,LNCAP clone FGC,NaN
docetaxel,LNCAP clone FGC,0
doxorubicin,LNCAP clone FGC,0.14
erlotinib,LNCAP clone FGC,10
gdc0941,LNCAP clone FGC,10
gemcitabine,LNCAP clone FGC,0.04
irinotecan,LNCAP clone FGC,1.53
lapatinib,LNCAP clone FGC,20
ms275,LNCAP clone FGC,0.1
paclitaxel,LNCAP clone FGC,0.01
pd0325901,LNCAP clone FGC,20
rapamycin,LNCAP clone FGC,0.1
thapsigargin,LNCAP clone FGC,0.1
vinblastine,LNCAP clone FGC,NaN
vorinostat,LNCAP clone FGC,1.5
bid1870,LoVo,10
bortezomib,LoVo,0.04
crizotinib,LoVo,0.93
dasatinib,LoVo,NaN
docetaxel,LoVo,0.02
doxorubicin,LoVo,0.43
erlotinib,LoVo,4.51
gdc0941,LoVo,10
gemcitabine,LoVo,0.02
irinotecan,LoVo,3.6
lapatinib,LoVo,20
ms275,LoVo,0.1
paclitaxel,LoVo,0.03
pd0325901,LoVo,0.1
rapamycin,LoVo,0.1
thapsigargin,LoVo,0.04
vinblastine,LoVo,NaN
vorinostat,LoVo,1.48
bid1870,LOX-IMVI,10
bortezomib,LOX-IMVI,0.03
crizotinib,LOX-IMVI,1
dasatinib,LOX-IMVI,NaN
docetaxel,LOX-IMVI,0.01
doxorubicin,LOX-IMVI,0.29
erlotinib,LOX-IMVI,10
gdc0941,LOX-IMVI,NaN
gemcitabine,LOX-IMVI,0.01
irinotecan,LOX-IMVI,1.24
lapatinib,LOX-IMVI,10.93
ms275,LOX-IMVI,0.1
paclitaxel,LOX-IMVI,0.02
pd0325901,LOX-IMVI,0.42
rapamycin,LOX-IMVI,0.1
thapsigargin,LOX-IMVI,0.02
vinblastine,LOX-IMVI,NaN
vorinostat,LOX-IMVI,1.94
bid1870,LP-1,10
bortezomib,LP-1,0.01
crizotinib,LP-1,1
dasatinib,LP-1,0.1
docetaxel,LP-1,0.01
doxorubicin,LP-1,1.69
erlotinib,LP-1,10
gdc0941,LP-1,10
gemcitabine,LP-1,1
irinotecan,LP-1,13.56
lapatinib,LP-1,8.84
ms275,LP-1,0.1
paclitaxel,LP-1,0.01
pd0325901,LP-1,20
rapamycin,LP-1,0.1
thapsigargin,LP-1,0.04
vinblastine,LP-1,0.01
vorinostat,LP-1,1.28
bid1870,LS1034,10
bortezomib,LS1034,0.09
crizotinib,LS1034,1
dasatinib,LS1034,NaN
docetaxel,LS1034,0.3
doxorubicin,LS1034,3.91
erlotinib,LS1034,10
gdc0941,LS1034,10
gemcitabine,LS1034,1
irinotecan,LS1034,20
lapatinib,LS1034,20
ms275,LS1034,0.1
paclitaxel,LS1034,3
pd0325901,LS1034,0.02
rapamycin,LS1034,0.1
thapsigargin,LS1034,0.16
vinblastine,LS1034,NaN
vorinostat,LS1034,4.87
bid1870,LXF-289,10
bortezomib,LXF-289,0.05
crizotinib,LXF-289,1
dasatinib,LXF-289,NaN
docetaxel,LXF-289,0
doxorubicin,LXF-289,0.35
erlotinib,LXF-289,10
gdc0941,LXF-289,10
gemcitabine,LXF-289,0.01
irinotecan,LXF-289,3.9
lapatinib,LXF-289,4.33
ms275,LXF-289,0.1
paclitaxel,LXF-289,0
pd0325901,LXF-289,0.76
rapamycin,LXF-289,0.1
thapsigargin,LXF-289,0.01
vinblastine,LXF-289,NaN
vorinostat,LXF-289,1.32
bid1870,Malme-3M,10
bortezomib,Malme-3M,0.01
crizotinib,Malme-3M,1
dasatinib,Malme-3M,NaN
docetaxel,Malme-3M,0.3
doxorubicin,Malme-3M,0.35
erlotinib,Malme-3M,10
gdc0941,Malme-3M,10
gemcitabine,Malme-3M,1
irinotecan,Malme-3M,20
lapatinib,Malme-3M,9.25
ms275,Malme-3M,0.1
paclitaxel,Malme-3M,0.07
pd0325901,Malme-3M,0
rapamycin,Malme-3M,0.1
thapsigargin,Malme-3M,0.18
vinblastine,Malme-3M,NaN
vorinostat,Malme-3M,1.41
bid1870,MC116,10
bortezomib,MC116,0.02
crizotinib,MC116,1
dasatinib,MC116,0.1
docetaxel,MC116,0
doxorubicin,MC116,0.09
erlotinib,MC116,NaN
gdc0941,MC116,NaN
gemcitabine,MC116,0
irinotecan,MC116,0.53
lapatinib,MC116,9.47
ms275,MC116,0.1
paclitaxel,MC116,0
pd0325901,MC116,20
rapamycin,MC116,0
thapsigargin,MC116,0.01
vinblastine,MC116,0.01
vorinostat,MC116,0.37
bid1870,MCAS,10
bortezomib,MCAS,0.03
crizotinib,MCAS,1
dasatinib,MCAS,NaN
docetaxel,MCAS,0
doxorubicin,MCAS,0.19
erlotinib,MCAS,10
gdc0941,MCAS,10
gemcitabine,MCAS,0
irinotecan,MCAS,0.49
lapatinib,MCAS,2.67
ms275,MCAS,0.1
paclitaxel,MCAS,0.01
pd0325901,MCAS,0.04
rapamycin,MCAS,0.1
thapsigargin,MCAS,0.05
vinblastine,MCAS,NaN
vorinostat,MCAS,0.78
bid1870,MCF-7,10
bortezomib,MCF-7,0.15
crizotinib,MCF-7,1
dasatinib,MCF-7,0.1
docetaxel,MCF-7,0.03
doxorubicin,MCF-7,0.65
erlotinib,MCF-7,10
gdc0941,MCF-7,0.12
gemcitabine,MCF-7,1
irinotecan,MCF-7,5.14
lapatinib,MCF-7,9
ms275,MCF-7,0.1
paclitaxel,MCF-7,0.03
pd0325901,MCF-7,20
rapamycin,MCF-7,0.1
thapsigargin,MCF-7,0.02
vinblastine,MCF-7,0.02
vorinostat,MCF-7,1.22
bid1870,MC-IXC,10
bortezomib,MC-IXC,0.02
crizotinib,MC-IXC,1
dasatinib,MC-IXC,NaN
docetaxel,MC-IXC,0
doxorubicin,MC-IXC,0.1
erlotinib,MC-IXC,10
gdc0941,MC-IXC,10
gemcitabine,MC-IXC,0
irinotecan,MC-IXC,0.08
lapatinib,MC-IXC,8.85
ms275,MC-IXC,0.1
paclitaxel,MC-IXC,0.01
pd0325901,MC-IXC,20
rapamycin,MC-IXC,0.1
thapsigargin,MC-IXC,0.06
vinblastine,MC-IXC,NaN
vorinostat,MC-IXC,0.83
bid1870,MDA-MB-157,10
bortezomib,MDA-MB-157,0.02
crizotinib,MDA-MB-157,1
dasatinib,MDA-MB-157,0.1
docetaxel,MDA-MB-157,0.02
doxorubicin,MDA-MB-157,0.28
erlotinib,MDA-MB-157,10
gdc0941,MDA-MB-157,10
gemcitabine,MDA-MB-157,0.01
irinotecan,MDA-MB-157,2.93
lapatinib,MDA-MB-157,4.36
ms275,MDA-MB-157,0.1
paclitaxel,MDA-MB-157,0.03
pd0325901,MDA-MB-157,20
rapamycin,MDA-MB-157,0.1
thapsigargin,MDA-MB-157,0.05
vinblastine,MDA-MB-157,0.01
vorinostat,MDA-MB-157,1.38
bid1870,MDA-MB-175-VII,10
bortezomib,MDA-MB-175-VII,0.34
crizotinib,MDA-MB-175-VII,1
dasatinib,MDA-MB-175-VII,0.1
docetaxel,MDA-MB-175-VII,0.3
doxorubicin,MDA-MB-175-VII,20
erlotinib,MDA-MB-175-VII,4.78
gdc0941,MDA-MB-175-VII,10
gemcitabine,MDA-MB-175-VII,1
irinotecan,MDA-MB-175-VII,20
lapatinib,MDA-MB-175-VII,0.42
ms275,MDA-MB-175-VII,0.1
paclitaxel,MDA-MB-175-VII,3
pd0325901,MDA-MB-175-VII,0.99
rapamycin,MDA-MB-175-VII,0.1
thapsigargin,MDA-MB-175-VII,1
vinblastine,MDA-MB-175-VII,0.1
vorinostat,MDA-MB-175-VII,6.01
bid1870,MDA-MB-231,10
bortezomib,MDA-MB-231,0.03
crizotinib,MDA-MB-231,1
dasatinib,MDA-MB-231,0.1
docetaxel,MDA-MB-231,0.03
doxorubicin,MDA-MB-231,0.46
erlotinib,MDA-MB-231,10
gdc0941,MDA-MB-231,10
gemcitabine,MDA-MB-231,1
irinotecan,MDA-MB-231,20
lapatinib,MDA-MB-231,19.17
ms275,MDA-MB-231,0.1
paclitaxel,MDA-MB-231,0.04
pd0325901,MDA-MB-231,0.19
rapamycin,MDA-MB-231,0.1
thapsigargin,MDA-MB-231,0.05
vinblastine,MDA-MB-231,0.05
vorinostat,MDA-MB-231,1.92
bid1870,MDA-MB-436,10
bortezomib,MDA-MB-436,0.04
crizotinib,MDA-MB-436,1
dasatinib,MDA-MB-436,0.1
docetaxel,MDA-MB-436,0.01
doxorubicin,MDA-MB-436,0.35
erlotinib,MDA-MB-436,10
gdc0941,MDA-MB-436,10
gemcitabine,MDA-MB-436,0.02
irinotecan,MDA-MB-436,4.46
lapatinib,MDA-MB-436,20
ms275,MDA-MB-436,0.1
paclitaxel,MDA-MB-436,0.03
pd0325901,MDA-MB-436,20
rapamycin,MDA-MB-436,0.1
thapsigargin,MDA-MB-436,0.08
vinblastine,MDA-MB-436,0.03
vorinostat,MDA-MB-436,4.9
bid1870,MDA-MB-453,10
bortezomib,MDA-MB-453,0.14
crizotinib,MDA-MB-453,1
dasatinib,MDA-MB-453,NaN
docetaxel,MDA-MB-453,0.3
doxorubicin,MDA-MB-453,1.13
erlotinib,MDA-MB-453,10
gdc0941,MDA-MB-453,10
gemcitabine,MDA-MB-453,1
irinotecan,MDA-MB-453,20
lapatinib,MDA-MB-453,20
ms275,MDA-MB-453,0.1
paclitaxel,MDA-MB-453,3
pd0325901,MDA-MB-453,20
rapamycin,MDA-MB-453,0.1
thapsigargin,MDA-MB-453,1
vinblastine,MDA-MB-453,NaN
vorinostat,MDA-MB-453,1.18
bid1870,MDA-MB-468,10
bortezomib,MDA-MB-468,0.01
crizotinib,MDA-MB-468,1
dasatinib,MDA-MB-468,0.1
docetaxel,MDA-MB-468,0.01
doxorubicin,MDA-MB-468,0.22
erlotinib,MDA-MB-468,9.42
gdc0941,MDA-MB-468,10
gemcitabine,MDA-MB-468,0.01
irinotecan,MDA-MB-468,0.9
lapatinib,MDA-MB-468,3.39
ms275,MDA-MB-468,0.1
paclitaxel,MDA-MB-468,0.01
pd0325901,MDA-MB-468,2.43
rapamycin,MDA-MB-468,0.1
thapsigargin,MDA-MB-468,0.03
vinblastine,MDA-MB-468,0.02
vorinostat,MDA-MB-468,3.13
bid1870,ME-180,10
bortezomib,ME-180,0.03
crizotinib,ME-180,1
dasatinib,ME-180,NaN
docetaxel,ME-180,0.01
doxorubicin,ME-180,0.15
erlotinib,ME-180,9.19
gdc0941,ME-180,0.3
gemcitabine,ME-180,0.02
irinotecan,ME-180,0.58
lapatinib,ME-180,3.32
ms275,ME-180,0.1
paclitaxel,ME-180,0.01
pd0325901,ME-180,1.62
rapamycin,ME-180,0
thapsigargin,ME-180,0.04
vinblastine,ME-180,NaN
vorinostat,ME-180,1.95
bid1870,MEL-HO,10
bortezomib,MEL-HO,0.01
crizotinib,MEL-HO,1
dasatinib,MEL-HO,0.1
docetaxel,MEL-HO,0
doxorubicin,MEL-HO,0.25
erlotinib,MEL-HO,10
gdc0941,MEL-HO,10
gemcitabine,MEL-HO,0.02
irinotecan,MEL-HO,4.18
lapatinib,MEL-HO,3.9
ms275,MEL-HO,0.1
paclitaxel,MEL-HO,0.01
pd0325901,MEL-HO,0.01
rapamycin,MEL-HO,0.01
thapsigargin,MEL-HO,0.09
vinblastine,MEL-HO,0.03
vorinostat,MEL-HO,0.81
bid1870,MEL-JUSO,10
bortezomib,MEL-JUSO,0.04
crizotinib,MEL-JUSO,1
dasatinib,MEL-JUSO,NaN
docetaxel,MEL-JUSO,0
doxorubicin,MEL-JUSO,0.21
erlotinib,MEL-JUSO,10
gdc0941,MEL-JUSO,10
gemcitabine,MEL-JUSO,0
irinotecan,MEL-JUSO,2.43
lapatinib,MEL-JUSO,6.72
ms275,MEL-JUSO,0.1
paclitaxel,MEL-JUSO,0.02
pd0325901,MEL-JUSO,0.01
rapamycin,MEL-JUSO,0.1
thapsigargin,MEL-JUSO,0.03
vinblastine,MEL-JUSO,NaN
vorinostat,MEL-JUSO,1.76
bid1870,MES-SA,10
bortezomib,MES-SA,0.02
crizotinib,MES-SA,1
dasatinib,MES-SA,0.1
docetaxel,MES-SA,0
doxorubicin,MES-SA,0.13
erlotinib,MES-SA,0.26
gdc0941,MES-SA,0.08
gemcitabine,MES-SA,0
irinotecan,MES-SA,1.13
lapatinib,MES-SA,7.01
ms275,MES-SA,0.1
paclitaxel,MES-SA,0
pd0325901,MES-SA,20
rapamycin,MES-SA,0
thapsigargin,MES-SA,0.02
vinblastine,MES-SA,0.02
vorinostat,MES-SA,0.25
bid1870,MeWo,10
bortezomib,MeWo,0.04
crizotinib,MeWo,1
dasatinib,MeWo,NaN
docetaxel,MeWo,0.02
doxorubicin,MeWo,0.45
erlotinib,MeWo,10
gdc0941,MeWo,10
gemcitabine,MeWo,0.02
irinotecan,MeWo,9.62
lapatinib,MeWo,14.9
ms275,MeWo,0.1
paclitaxel,MeWo,0.04
pd0325901,MeWo,0.05
rapamycin,MeWo,0.1
thapsigargin,MeWo,0.1
vinblastine,MeWo,NaN
vorinostat,MeWo,1.56
bid1870,MFM-223,10
bortezomib,MFM-223,0.01
crizotinib,MFM-223,1
dasatinib,MFM-223,NaN
docetaxel,MFM-223,0.01
doxorubicin,MFM-223,1.06
erlotinib,MFM-223,10
gdc0941,MFM-223,10
gemcitabine,MFM-223,1
irinotecan,MFM-223,20
lapatinib,MFM-223,20
ms275,MFM-223,0.1
paclitaxel,MFM-223,0.01
pd0325901,MFM-223,2.49
rapamycin,MFM-223,0.1
thapsigargin,MFM-223,0.07
vinblastine,MFM-223,NaN
vorinostat,MFM-223,1.43
bid1870,MG-63,NaN
bortezomib,MG-63,0.02
crizotinib,MG-63,1
dasatinib,MG-63,NaN
docetaxel,MG-63,0.01
doxorubicin,MG-63,0.53
erlotinib,MG-63,NaN
gdc0941,MG-63,NaN
gemcitabine,MG-63,0.03
irinotecan,MG-63,2.74
lapatinib,MG-63,NaN
ms275,MG-63,0.1
paclitaxel,MG-63,0.01
pd0325901,MG-63,20
rapamycin,MG-63,0.1
thapsigargin,MG-63,0.04
vinblastine,MG-63,NaN
vorinostat,MG-63,0.25
bid1870,MHH-ES-1,10
bortezomib,MHH-ES-1,0.03
crizotinib,MHH-ES-1,1
dasatinib,MHH-ES-1,NaN
docetaxel,MHH-ES-1,0
doxorubicin,MHH-ES-1,0.32
erlotinib,MHH-ES-1,10
gdc0941,MHH-ES-1,10
gemcitabine,MHH-ES-1,0.01
irinotecan,MHH-ES-1,0.23
lapatinib,MHH-ES-1,NaN
ms275,MHH-ES-1,0.1
paclitaxel,MHH-ES-1,0.01
pd0325901,MHH-ES-1,20
rapamycin,MHH-ES-1,0.05
thapsigargin,MHH-ES-1,0.02
vinblastine,MHH-ES-1,NaN
vorinostat,MHH-ES-1,1.19
bid1870,MHH-PREB-1,10
bortezomib,MHH-PREB-1,0.15
crizotinib,MHH-PREB-1,1
dasatinib,MHH-PREB-1,0.1
docetaxel,MHH-PREB-1,0
doxorubicin,MHH-PREB-1,0.09
erlotinib,MHH-PREB-1,10
gdc0941,MHH-PREB-1,10
gemcitabine,MHH-PREB-1,0
irinotecan,MHH-PREB-1,1.01
lapatinib,MHH-PREB-1,20
ms275,MHH-PREB-1,0.1
paclitaxel,MHH-PREB-1,0.01
pd0325901,MHH-PREB-1,20
rapamycin,MHH-PREB-1,0.01
thapsigargin,MHH-PREB-1,0.11
vinblastine,MHH-PREB-1,0.01
vorinostat,MHH-PREB-1,0.43
bid1870,MIA Paca-2,10
bortezomib,MIA Paca-2,0.34
crizotinib,MIA Paca-2,1
dasatinib,MIA Paca-2,NaN
docetaxel,MIA Paca-2,0.01
doxorubicin,MIA Paca-2,0.31
erlotinib,MIA Paca-2,10
gdc0941,MIA Paca-2,10
gemcitabine,MIA Paca-2,0.02
irinotecan,MIA Paca-2,2.36
lapatinib,MIA Paca-2,20
ms275,MIA Paca-2,0.1
paclitaxel,MIA Paca-2,0.02
pd0325901,MIA Paca-2,0.03
rapamycin,MIA Paca-2,0.1
thapsigargin,MIA Paca-2,0.04
vinblastine,MIA Paca-2,NaN
vorinostat,MIA Paca-2,0.57
bid1870,MKN-1,10
bortezomib,MKN-1,0.03
crizotinib,MKN-1,1
dasatinib,MKN-1,NaN
docetaxel,MKN-1,0.01
doxorubicin,MKN-1,0.29
erlotinib,MKN-1,10
gdc0941,MKN-1,10
gemcitabine,MKN-1,0.38
irinotecan,MKN-1,9.26
lapatinib,MKN-1,9.2
ms275,MKN-1,0.1
paclitaxel,MKN-1,0.02
pd0325901,MKN-1,20
rapamycin,MKN-1,0.1
thapsigargin,MKN-1,0.04
vinblastine,MKN-1,NaN
vorinostat,MKN-1,2.29
bid1870,MKN-45,10
bortezomib,MKN-45,0.04
crizotinib,MKN-45,0.05
dasatinib,MKN-45,NaN
docetaxel,MKN-45,0.01
doxorubicin,MKN-45,0.47
erlotinib,MKN-45,10
gdc0941,MKN-45,10
gemcitabine,MKN-45,0.01
irinotecan,MKN-45,1.21
lapatinib,MKN-45,20
ms275,MKN-45,0.1
paclitaxel,MKN-45,0.02
pd0325901,MKN-45,0.05
rapamycin,MKN-45,0.1
thapsigargin,MKN-45,0.05
vinblastine,MKN-45,NaN
vorinostat,MKN-45,4.4
bid1870,MKN-74,10
bortezomib,MKN-74,0.03
crizotinib,MKN-74,1
dasatinib,MKN-74,NaN
docetaxel,MKN-74,0.03
doxorubicin,MKN-74,1.67
erlotinib,MKN-74,10
gdc0941,MKN-74,10
gemcitabine,MKN-74,1
irinotecan,MKN-74,20
lapatinib,MKN-74,8.62
ms275,MKN-74,0.1
paclitaxel,MKN-74,0.03
pd0325901,MKN-74,0.41
rapamycin,MKN-74,0.1
thapsigargin,MKN-74,0.01
vinblastine,MKN-74,NaN
vorinostat,MKN-74,4.09
bid1870,ML-2,10
bortezomib,ML-2,0.01
crizotinib,ML-2,0.72
dasatinib,ML-2,NaN
docetaxel,ML-2,0.01
doxorubicin,ML-2,0.23
erlotinib,ML-2,10
gdc0941,ML-2,10
gemcitabine,ML-2,0
irinotecan,ML-2,0.37
lapatinib,ML-2,20
ms275,ML-2,0.1
paclitaxel,ML-2,0.02
pd0325901,ML-2,0.01
rapamycin,ML-2,0.1
thapsigargin,ML-2,0.09
vinblastine,ML-2,NaN
vorinostat,ML-2,1.51
bid1870,MOLP-8,10
bortezomib,MOLP-8,0.05
crizotinib,MOLP-8,0.66
dasatinib,MOLP-8,NaN
docetaxel,MOLP-8,0.01
doxorubicin,MOLP-8,0.26
erlotinib,MOLP-8,10
gdc0941,MOLP-8,10
gemcitabine,MOLP-8,0
irinotecan,MOLP-8,0.81
lapatinib,MOLP-8,20
ms275,MOLP-8,0.1
paclitaxel,MOLP-8,0.02
pd0325901,MOLP-8,20
rapamycin,MOLP-8,0
thapsigargin,MOLP-8,0.03
vinblastine,MOLP-8,NaN
vorinostat,MOLP-8,0.38
bid1870,MV-4-11,7.87
bortezomib,MV-4-11,0.02
crizotinib,MV-4-11,0.53
dasatinib,MV-4-11,NaN
docetaxel,MV-4-11,0
doxorubicin,MV-4-11,0.05
erlotinib,MV-4-11,10
gdc0941,MV-4-11,10
gemcitabine,MV-4-11,0
irinotecan,MV-4-11,0.29
lapatinib,MV-4-11,20
ms275,MV-4-11,0.1
paclitaxel,MV-4-11,0.01
pd0325901,MV-4-11,0.06
rapamycin,MV-4-11,0.1
thapsigargin,MV-4-11,0.05
vinblastine,MV-4-11,NaN
vorinostat,MV-4-11,0.53
bid1870,NCI-N87,10
bortezomib,NCI-N87,0.06
crizotinib,NCI-N87,1
dasatinib,NCI-N87,NaN
docetaxel,NCI-N87,0.01
doxorubicin,NCI-N87,1.44
erlotinib,NCI-N87,1.78
gdc0941,NCI-N87,10
gemcitabine,NCI-N87,0.02
irinotecan,NCI-N87,3.19
lapatinib,NCI-N87,0.2
ms275,NCI-N87,0.1
paclitaxel,NCI-N87,0.03
pd0325901,NCI-N87,20
rapamycin,NCI-N87,0.1
thapsigargin,NCI-N87,0.19
vinblastine,NCI-N87,NaN
vorinostat,NCI-N87,1.3
bid1870,NALM-6,10
bortezomib,NALM-6,0.01
crizotinib,NALM-6,0.57
dasatinib,NALM-6,NaN
docetaxel,NALM-6,0
doxorubicin,NALM-6,0.09
erlotinib,NALM-6,10
gdc0941,NALM-6,10
gemcitabine,NALM-6,0
irinotecan,NALM-6,0.29
lapatinib,NALM-6,9.83
ms275,NALM-6,0.1
paclitaxel,NALM-6,0
pd0325901,NALM-6,20
rapamycin,NALM-6,0.1
thapsigargin,NALM-6,0.02
vinblastine,NALM-6,NaN
vorinostat,NALM-6,1.2
bid1870,NB-1,10
bortezomib,NB-1,0.02
crizotinib,NB-1,0.06
dasatinib,NB-1,NaN
docetaxel,NB-1,0
doxorubicin,NB-1,0.05
erlotinib,NB-1,10
